Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,Player-additional
5,152,DET,Colby Sorsdal,OL,23,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,,,,William & Mary,,SorsCo00
5,153,TAM,SirVocea Dennis,LB,23,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,25,,1.0,Pittsburgh,College Stats,DennSi00
5,154,SEA,Olusegun Oluwatimi,C,24,2024,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,OluwOl00
5,155,SFO,Darrell Luter,CB,23,2024,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,,,South Alabama,College Stats,LuteDa00
5,156,LAC,Jordan McFadden,OL,23,2024,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats,McFaJo00
5,157,BAL,Kyu Blu Kelly,CB,22,2024,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,5,,,Stanford,College Stats,BluxKy00
5,158,IND,Daniel Scott,S,24,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats,ScotDa03
5,159,GNB,Dontayvion Wicks,WR,22,2024,0,0,0,6,6,26,1,1,14,0,0,1,1,0,56,798,8,,,,Virginia,College Stats,WickDo00
5,160,JAX,Antonio Johnson,DB,21,2024,0,0,1,2,2,24,0,0,0,0,0,0,0,0,0,0,0,49,2,1.0,Texas A&M,College Stats,JohnAn07
5,161,LAR,Nick Hampton,OLB,23,2024,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,4,,,Appalachian St.,College Stats,HampNi00
5,162,IND,Will Mallory,TE,24,2024,0,0,0,2,2,19,0,0,0,0,0,0,0,0,21,229,0,,,,Miami (FL),College Stats,MallWi00
5,163,CIN,Chase Brown,RB,23,2024,0,0,0,3,3,23,0,0,0,0,0,184,786,5,49,363,3,2,,,Illinois,College Stats,BrowCh10
5,164,MIN,Jaren Hall,QB,25,2023,0,0,0,1,1,3,13,20,168,0,1,6,14,0,0,0,0,,,,BYU,College Stats,HallJa00
